mixing_rate_rpm,colour_removal_,turbidity_removal_,mixing_time_min,coagulant_vol,nitrate_concppm,iron_concppm,ph,doppm,salinityppt,initial_ph,tds_ppt
100.0,83.61,89.62,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,0.736
80.0,85.57,83.81,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,0.736
90.0,77.45,56.01,1.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,0.736
90.0,80.08,62.65,2.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,0.736
90.0,81.58,82.98,3.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,0.736
90.0,84.66,87.55,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,0.736
90.0,84.92,96.26,5.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,0.736
90.0,86.39,84.43,2.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,0.736
90.0,91.31,90.66,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,0.736
90.0,92.09,92.11,6.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,0.736
90.0,94.78,93.36,8.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,0.736
90.0,92.05,91.7,10.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,0.736
90.0,81.78,17.1,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,0.736
90.0,10.0,16.2,4.0,1.0,11.9,8.64,2.1,3.92,4.5,7.0,0.736
90.0,20.0,12.8,4.0,2.0,1.4,9.11,2.9,6.37,7.23,7.0,0.736
90.0,30.0,13.0,4.0,3.0,0.8,8.5,4.5,8.92,10.1,7.0,0.736
90.0,40.0,13.1,4.0,4.0,0.7,8.15,4.9,10.2,11.5,7.0,0.736
90.0,50.0,13.3,4.0,5.0,0.8,8.59,4.5,12.5,14.1,7.0,0.736
90.0,60.0,13.0,4.0,6.0,0.7,7.26,4.9,13.7,15.5,7.0,0.736
90.0,100.0,13.0,4.0,7.0,1.0,6.49,5.2,19.5,22.0,7.0,0.736
90.0,0.0,17.1,4.0,4.0,7.4,7.46,8.6,20.7,23.5,7.0,0.736
90.0,81.78,1.2,4.0,4.0,9.65,8.875,6.9,11.35,12.8,4.0,0.9
90.0,81.78,1.3,4.0,4.0,9.65,8.875,6.9,11.35,12.8,5.0,1.0
90.0,81.78,1.5,4.0,4.0,9.65,8.875,6.9,11.35,12.8,6.0,1.1
90.0,81.78,1.7,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,1.1
90.0,81.78,1.9,4.0,4.0,9.65,8.875,6.9,11.35,12.8,8.0,1.6
