Mixing rate (rpm),Colour removal (%),Turbidity removal (%),Mixing time (min),Coagulant vol.,Nitrate conc.(ppm),Iron conc.(ppm),pH,DO(ppm),Salinity(PPT),Initial pH,Salinity (ppt),TDS (ppt),DO (ppm)
50.0,77.78,91.7,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
100.0,83.61,89.62,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
150.0,78.31,75.93,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
200.0,83.81,90.66,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
250.0,81.78,82.36,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
300.0,84.27,92.11,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
20.0,89.04,89.62,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
40.0,92.53,96.68,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
60.0,93.26,97.09,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
80.0,85.57,83.81,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
90.0,77.45,56.01,1.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
90.0,80.08,62.65,2.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
90.0,81.58,82.98,3.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
90.0,84.66,87.55,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
90.0,84.92,96.26,5.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
